"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",259.1187364,"C12H20O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",259.1551257,"C13H24O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",260.0564425,"C13H11O5N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",260.0775805,"C10H15O7N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.0041055,"C12H6O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",261.0404919,"C13H10O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.0616107,"C10H14O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.0768783,"C14H14O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.0980203,"C11H18O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.1132724,"C15H18O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.1343918,"C12H22O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",261.1496601,"C16H22O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",262.0357657,"C12H9O6N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",262.0721212,"C13H13O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",263.0197487,"C12H8O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",263.0408779,"C9H12O9",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",263.0561555,"C13H12O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",263.0673279,"C12H12O5N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",263.0772745,"C10H16O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",263.0925115,"C14H16O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
