"Mass","formula","HC","OC"
257.1758605,"C14H26O4",1.86,0.29
257.2122348,"C15H30O3",2,0.2
258.0408248,"C13H9O5N1",0.69,0.38
258.0619583,"C10H13O7N1",1.3,0.7
258.0652773,"C7H17O7N1S1",2.43,1
258.073201,"C9H13O6N3",1.44,0.67
258.0748115,"C7H18O7N1P1",2.57,1
258.0983619,"C11H17O6N1",1.55,0.55
258.1095786,"C10H17O5N3",1.7,0.5
258.1347593,"C12H21O5N1",1.75,0.42
258.1459637,"C11H21O4N3",1.91,0.36
258.902099,"C8H4O2S4",0.5,0.25
258.967548,"C8H8O2N2S3",1,0.25
258.988355,"C12H4O7",0.33,0.58
259.0096322,"C9H8O9",0.89,1
259.020779,"C8H8O8N2",1,1
259.0248565,"C13H8O6",0.62,0.46
259.028229,"C10H12O6S1",1.2,0.6
259.028993,"C11H16O1S3",1.45,0.09
259.0459749,"C10H12O8",1.2,0.8
259.0572159,"C9H12O7N2",1.33,0.78
259.0612279,"C14H12O5",0.86,0.36
259.072494,"C13H12O4N2",0.92,0.31
259.0823694,"C11H16O7",1.45,0.64
259.0935943,"C10H16O6N2",1.6,0.6
259.0976356,"C15H16O4",1.07,0.27
259.1187364,"C12H20O6",1.67,0.5
259.1299685,"C11H20O5N2",1.82,0.45
259.1339854,"C16H20O3",1.25,0.19
259.1551257,"C13H24O5",1.85,0.38
259.170419,"C17H24O2",1.41,0.12
259.1914858,"C14H28O4",2,0.29
259.998307,"C7H7O6N3S1",1,0.86
260.0201193,"C12H7O6N1",0.58,0.5
260.020347,"C5H15O3N3S3",3,0.6
260.0412116,"C9H11O8N1",1.22,0.89
260.0564425,"C13H11O5N1",0.85,0.38
260.0775805,"C10H15O7N1",1.5,0.7
260.0888611,"C9H15O6N3",1.67,0.67
260.1140324,"C11H19O6N1",1.73,0.55
260.1252066,"C10H19O5N3",1.9,0.5
260.1503861,"C12H23O5N1",1.92,0.42
